Asset_ID,Name,Manufacturer,MFA Enabled
,Adobe,,
,Adobe Acrobat DC Continuous,,
,Adobe Acrobat Reader DC Continuous,,
,Adobe AIR,,
,Adobe Photoshop,,
,Amazon Web Services,Cloud Service,
,Apple iOS,Mobile,
,Apple macOS,Desktop,
,Azure Cloud,,
,Blender,,
,Cisco,Server,
,Cisco Meraki,,
,Exchange Online,,
,ExtraHop,,
,Git,,
,Google Android,Mobile,
,Google Chrome,,
,Google Chrome,Desktop,
,Google Cloud Computing Platform,Cloud Service,
,Google Docs,,
,Google Drive,,
,Google Meet,,
,Google Workspace,Cloud Service,
,IBM Cloud Foundations,Cloud Service,
,Java,,
,Java SE Development Kit,,
,Kali Linux Updates,,
,Malwarebytes,,Yes
,Microsoft 365,Cloud Service,
,Microsoft Azure,Cloud Service,
,Microsoft Defender,,
,Microsoft Dynamics 365 Power Platform,Cloud Service,
,Microsoft Edge,,
,Microsoft Intune for Windows,Desktop,
,Microsoft Office,Desktop,
,Microsoft Office 365,,
,Microsoft Office 365,,
,Microsoft OneDrive,,
,Microsoft Teams,,
,Microsoft Visual Studio,,
,Microsoft Visual Studio Code,,
,Microsoft Web Browser,Desktop,
,Microsoft Windows Desktop,Desktop,
,Microsoft Windows Server,Server,
,Mozilla Firefox,,
,Mozilla Firefox,Desktop,
,MySQL Workbench,,
,Notepad++,,
,OpenAI,,
,Oracle Cloud Infrastructure,Cloud Service,
,Python 3.10,,
,QuickTime,,
,Rapid7,,
,Red Hat Enterprise Linux,Server,
,Safari Browser,Desktop,
,SharePoint Online and OneDrive for Business,,
,SolarWinds,,
,Splunk,,
,Splunk Cloud,,
,Ubiquiti,,
,VirtualBox,,
,VLC media player,,
,VMware Carbon Black,,
,VMware Player,,
,VMware Update Manager,,
,VMware vCenter,,
,VMware Workstation,,
,WebEx,,
,Windows Defender,,
,WinSCP,,
,Wireshark 4.2.4,The Wireshark developer community,
,Zoom,Desktop,